Nd	CaF2-YF3	1.337	-0- 	4F3/2	4I13/2	4090	1.5	0.48	80	p	300	5x39	Xe	10	4/27/1988	7024
Nd	CaF2-YF3	1.3585	-0- 	4F3/2	4I13/2	4200	1.5	0.48	120	p	300	5x39	Xe	20	4/27/1988	7024
Nd	CaF2-YF3	1.3255	-0- 	4F3/2	4I13/2	4040	1.5	0.48	45	p	77	5x39	Xe	40	4/27/1988	7024
Nd	CaF2-YF3	1.338	-0- 	4F3/2	4I13/2	4090	1.5	0.48	55	p	77	5x39	Xe	70	4/27/1988	7024
Nd	CaF2-YF3	1.36	-0- 	4F3/2	4I13/2	4200	1.5	0.48	60	p	77	5x39	Xe	200	4/27/1988	7024
Nd	CaF2-YF3-NdF3	1.0632	-0- 	4F3/2	4I11/2	2170	16	0.4	100	p	300	6x40	Xe	250	4/27/1988	7000
Nd	Ca3Ga2Ge3O12	1.0597	-0- 	4F3/2	4I11/2	2000	0.8	0.21	-0- 	p	300	2.5x5x9	Xe	4.5	4/27/1988	7000
Nd	Ca3Ga2Ge3O12	1.0639	-0- 	4F3/2	4I11/2	2000	0.8	0.21	-0- 	p	300	2.5x5x9	Xe	3.5	4/27/1988	7000
Nd	Ca3Ga2Ge3O12	1.3317	-0- 	4F3/2	4I13/2	4000	0.8	0.21	-0- 	p	300	2.5x5x9	Xe	18	4/27/1988	7000
Nd	CaGd4(SiO4)3O	1.06	-0- 	4F3/2	4I11/2	2000	-0- 	-0- 	-0- 	p	300	-0- 	Xe	-0- 	4/27/1988	7000
Nd	Ca4La(PO4)3O	1.0613	-0- 	4F3/2	4I11/2	2000	-0- 	-0- 	30	p	300	6.4x76	Xe	22	4/27/1988	7000
Nd	CaLa4(SiO4)3O	1.061	-0- 	4F3/2	4I11/2	2000	2	0.24	53	p	300	6.4x46	Xe	5.5	4/27/1988	7000
Nd	CaMoO4	1.0573	-0- 	4F3/2	4I11/2	2000	1.3	0.12	12	p	300	6.5x75	Xe	10	4/27/1988	7000
Nd	CaLa4(SiO4)3O	1.061	-0- 	4F3/2	4I11/2	2000	2	0.24	53	cw	300	3x50	W	525	4/27/1988	7000
Nd	CaMoO4	1.061	-0- 	4F3/2	4I11/2	2000	1.8	0.12	-0- 	p	300	2.5x25	Xe	1	4/27/1988	7000
Nd	CaMoO4	1.061	-0- 	4F3/2	4I11/2	2000	1.8	0.12	-0- 	cw	300	2.5x25	Xe	1200	4/27/1988	7000
Nd	CaMoO4	1.0673	-0- 	4F3/2	4I11/2	2000	1.8	0.12	-0- 	p	300	-0- 	Xe	7	4/27/1988	7000
Nd	CaMoO4	1.0673	-0- 	4F3/2	4I11/2	2000	1.8	0.12	-0- 	cw	77	-0- 	Xe	1200	4/27/1988	7000
Nd	Ca(NbO3)2	1.0615	-0- 	4F3/2	4I11/2	1949	1.5	0.12	10	p	300	3.5x11	Xe	1	4/27/1988	7025
Nd	Ca(NbO3)2	1.0615	-0- 	4F3/2	4I11/2	1949	1.5	0.12	10	cw	300	4x30	Xe	350	4/27/1988	7025
Nd	Ca(NbO3)2	1.0615	-0- 	4F3/2	4I11/2	1952	1.5	0.12	4.5	p	77	3.5x11	Xe	0.8	4/27/1988	7025
Nd	Ca(NbO3)2	1.0615	-0- 	4F3/2	4I11/2	1952	1.5	0.12	4.5	cw	77	4x30	Xe	400	4/27/1988	7025
Nd	Ca(NbO3)2	1.0615	1.0625	4F3/2	4I11/2	1949	1.5	0.12	10	p	650	5x20	Xe	400	4/27/1988	7026
Nd	Ca(NbO3)2	1.338	-0- 	4F3/2	4I13/2	3898	1	0.12	13	p	300	6x15	Xe	4.5	4/27/1988	7000
Nd	Ca(NbO3)2	1.3425	-0- 	4F3/2	4I13/2	3923	1	0.12	16	p	300	6x15	Xe	6	4/27/1988	7000
Nd	Ca(NbO3)2	1.337	-0- 	4F3/2	4I13/2	3896	1	0.12	7	p	77	6x15	Xe	8	4/27/1988	7000
Nd	Ca(NbO3)2	1.3415	-0- 	4F3/2	4I13/2	3922	1	0.12	10	p	77	6x15	Xe	20	4/27/1988	7000
Nd	Ca5(PO4)3F	1.063	-0- 	4F3/2	4I11/2	1900	1	0.25	6	p	300	6x17	Xe	0.2	4/27/1988	7027
Nd	Ca5(PO4)3F	1.063	-0- 	4F3/2	4I11/2	1900	1	0.25	6	cw	300	2x28	W	145	4/27/1988	7027
Nd	Ca5(PO4)3F	1.3347	-0- 	4F3/2	4I13/2	3819	1	0.25	4	p	300	6x17	Xe	2	4/27/1988	7028
Nd	Ca5(PO4)3F	1.3345	-0- 	4F3/2	4I13/2	3820	1	0.25	2	p	77	6x17	Xe	8	4/27/1988	7028
